"","case_no","visa_type","fy","last_event_date","case_status","n_requested","n_certified","is_certified","certification_begin_date","certification_end_date","job_title","employer_name","employer_state","employer_city","employer_address_1","employer_address_2","employer_postal_code","worksite_state","worksite_city","agent_name","organization_flag","is_duplicate"
"13",1289821,"H-2B",2000,2000-03-01,"CERTIFIED, TEMPORARY",26,26,"True",NA,NA,"HOUSECLEANER","NORSMAN MOTOR INN INC.","ME","OQUNQUIT",NA,NA,NA,NA,NA,"H.E.L.P.:JOHN YOUNG",NA,NA
"14",1290155,"H-2B",2000,2000-03-01,"CERTIFIED, TEMPORARY",47,47,"True",NA,NA,"FOREST WORKER","RAMON FORESTRY SERVICE","ME","CLINTON",NA,NA,NA,NA,NA,NA,NA,NA
"15",1290092,"H-2B",2000,2000-03-03,"WITHDRAWN",6,0,"False",NA,NA,"CLEANER, HOUSEKEEPING","THE GRAND HOTEL","ME","OGUNQUIT",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"16",1290804,"H-2B",2000,2000-03-13,"CERTIFIED, TEMPORARY",4,4,"True",NA,NA,"CLEANER, HOUSEKEEPING","LODGE AT MOOSEHEAD LAKE","ME","GREENVILLE",NA,NA,NA,NA,NA,NA,NA,NA
"17",1290805,"H-2B",2000,2000-03-15,"CERTIFIED, TEMPORARY",90,90,"True",NA,NA,"FOREST WORKER","G&P FORESTRY SERVICE INC.","ME","ASHLAND",NA,NA,NA,NA,NA,"INTERNATIONAL LABOR MANAGEMENT CORP.:DORA LOPEZ",NA,NA
"18",1290833,"H-2B",2000,2000-03-16,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"MANAGER, LODGING FACILITIES","COASTAL EAST SURF INC., DBA GREEN DOLPHIN MOTEL","ME","OLD ORCHARD BEACH",NA,NA,NA,NA,NA,NA,NA,NA
"19",1291209,"H-2B",2000,2000-03-22,"CERTIFIED, TEMPORARY",2,2,"True",NA,NA,"COOK","CAMP TEKAKWITHA","ME","LEEDS",NA,NA,NA,NA,NA,NA,NA,NA
"20",1291208,"H-2B",2000,2000-03-22,"CERTIFIED, TEMPORARY",5,5,"True",NA,NA,"KITCHEN HELPER","CAMP TEKAKWITHA","ME","LEEDS",NA,NA,NA,NA,NA,NA,NA,NA
"21",1291207,"H-2B",2000,2000-03-22,"CERTIFIED, TEMPORARY",7,7,"True",NA,NA,"ATTENDANT, CAMPGROUND","CAMP TEKAKWITHA","ME","LEEDS",NA,NA,NA,NA,NA,NA,NA,NA
"22",1291206,"H-2B",2000,2000-03-22,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"CHEF","CAMP TEKAKWITHA","ME","LEEDS",NA,NA,NA,NA,NA,NA,NA,NA
"23",1291205,"H-2B",2000,2000-03-22,"CERTIFIED, TEMPORARY",42,42,"True",NA,NA,"COUNSELOR, CAMP","CAMP TEKAKWITHA","ME","LEEDS",NA,NA,NA,NA,NA,NA,NA,NA
"24",1291204,"H-2B",2000,2000-03-22,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"BAKER","CAMP TEKAKWITHA","ME","LEEDS",NA,NA,NA,NA,NA,NA,NA,NA
"25",1291203,"H-2B",2000,2000-03-22,"CERTIFIED, TEMPORARY",2,2,"True",NA,NA,"LIFEGUARD","CAMP TEKAKWITHA","ME","LEEDS",NA,NA,NA,NA,NA,NA,NA,NA
"26",1291202,"H-2B",2000,2000-03-22,"CERTIFIED, TEMPORARY",7,7,"True",NA,NA,"COUNSELOR, CAMP","CAMP TEKAKWITHA","ME","LEEDS",NA,NA,NA,NA,NA,NA,NA,NA
"27",1291201,"H-2B",2000,2000-03-22,"CERTIFIED, TEMPORARY",4,4,"True",NA,NA,"COUNSELOR, CAMP","CAMP TEKAKWITHA","ME","LEEDS",NA,NA,NA,NA,NA,NA,NA,NA
"28",1291288,"H-2B",2000,2000-03-23,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"JANITOR","SEA DRIFT MOTEL","ME","OLD ORCHARD BEACH",NA,NA,NA,NA,NA,NA,NA,NA
"29",1291289,"H-2B",2000,2000-03-23,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"CLEANER, HOUSEKEEPING","SEA DRIFT MOTEL","ME","OLD ORCHARD BEACH",NA,NA,NA,NA,NA,NA,NA,NA
"30",1291710,"H-2B",2000,2000-03-30,"CERTIFIED, TEMPORARY",9,9,"True",NA,NA,"HOUSECLEANER","C.E.S. INC., DBA NORMANDIE MOTOR INN","ME","OLD ORCHARD BEACH",NA,NA,NA,NA,NA,NA,NA,NA
"31",1291716,"H-2B",2000,2000-03-31,"CERTIFIED, TEMPORARY",4,4,"True",NA,NA,"LABORER, SHELLFISH PROCESSING","WILLIAM ATWOOD LOBSTER CO.","ME","SPRUCE HEAD",NA,NA,NA,NA,NA,NA,NA,NA
"32",1291715,"H-2B",2000,2000-03-31,"CERTIFIED, TEMPORARY",6,6,"True",NA,NA,"LABORER, SHELLFISH PROCESSING","WILLIAM ATWOOD LOBSTER CO.","ME","SPRUCE HEAD",NA,NA,NA,NA,NA,NA,NA,NA
"33",1291714,"H-2B",2000,2000-03-31,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"KITCHEN HELPER","THOMASTON CAFE & BAKERY","ME","THOMASTON",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"34",1291713,"H-2B",2000,2000-03-31,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"GUIDE","WINDFALL RAFTING INC.","ME","JACKMAN",NA,NA,NA,NA,NA,NA,NA,NA
"35",1292071,"H-2B",2000,2000-04-06,"CERTIFIED, TEMPORARY",7,7,"True",NA,NA,"COOK HELPER","SPRUCE POINT INN","ME","BOOTHBAY HARBOR",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"36",1292072,"H-2B",2000,2000-04-06,"CERTIFIED, TEMPORARY",7,7,"True",NA,NA,"KITCHEN HELPER","SPRUCE POINT INN","ME","BOOTHBAY HARBOR",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"37",1292073,"H-2B",2000,2000-04-06,"CERTIFIED, TEMPORARY",9,9,"True",NA,NA,"CLEANER, HOUSEKEEPING","SPRUCE POINT INN","ME","BOOTHBAY HARBOR",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"38",1292074,"H-2B",2000,2000-04-06,"CERTIFIED, TEMPORARY",10,10,"True",NA,NA,"CLEANER, HOUSEKEEPING","MEADOWMERE RESORT CORP.","ME","OQUNGUIT",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"39",1292070,"H-2B",2000,2000-04-06,"CERTIFIED, TEMPORARY",6,6,"True",NA,NA,"HOUSECLEANER","THE CLIFF HOUSE & MOTELS INC.","ME","OGUNQUIT",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"40",1292066,"H-2B",2000,2000-04-06,"CERTIFIED, TEMPORARY",2,2,"True",NA,NA,"DINING ROOM ATTENDANT","ASTIKIM CORPORATION, DBA ASTICOU INN","ME","NORTHEAST HARBOR",NA,NA,NA,NA,NA,NA,NA,NA
"41",1292065,"H-2B",2000,2000-04-06,"CERTIFIED, TEMPORARY",3,3,"True",NA,NA,"KITCHEN HELPER","ASTIKIM CORPORATION, DBA ASTICOU INN","ME","NORTHEAST HARBOR",NA,NA,NA,NA,NA,NA,NA,NA
"42",1292064,"H-2B",2000,2000-04-06,"DENIED, TEMPORARY",3,0,"False",NA,NA,"CLEANER, HOUSEKEEPING","LINMURE INC., DBA SEA LATCH MOTOR INN","ME","YORK BEACH",NA,NA,NA,NA,NA,NA,NA,NA
"43",1292068,"H-2B",2000,2000-04-06,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"CLEANER, HOUSEKEEPING","ASTIKIM CORPORATION, DBA ASTICOU INN","ME","NORTHEAST HARBOR",NA,NA,NA,NA,NA,NA,NA,NA
"44",1292067,"H-2B",2000,2000-04-07,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL","ASTIKIM CORPORATION, DBA ASTICOU INN","ME","NORTHEAST HARBOR",NA,NA,NA,NA,NA,NA,NA,NA
"45",1292069,"H-2B",2000,2000-04-07,"CERTIFIED, TEMPORARY",20,20,"True",NA,NA,"HOUSECLEANER","ANCHORAGE BY THE SEA","ME","OGUNQUIT",NA,NA,NA,NA,NA,NA,NA,NA
"46",1292234,"H-2B",2000,2000-04-10,"CERTIFIED, TEMPORARY",3,3,"True",NA,NA,"COOK, SHORT ORDER","LOBSTER POUND RESTAURANT INC.","ME","LINCOLNVILLE",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"47",1292233,"H-2B",2000,2000-04-10,"CERTIFIED, TEMPORARY",5,5,"True",NA,NA,"KITCHEN HELPER","LOBSTER POUND RESTAURANT INC.","ME","LINCOLNVILLE",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"48",1292319,"H-2B",2000,2000-04-12,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"SUPERVISOR, FERTILIZER PROCESSING","CAVEDISH AGRI SERVICES INC.","ME","PRESQUE ISLE",NA,NA,NA,NA,NA,NA,NA,NA
"49",1292284,"H-2B",2000,2000-04-14,"CERTIFIED, TEMPORARY",8,8,"True",NA,NA,"COOK HELPER","LAFAYETTE HOTELS","ME","WELLS BEACH",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"50",1292282,"H-2B",2000,2000-04-17,"CERTIFIED, TEMPORARY",20,20,"True",NA,NA,"HOUSECLEANER","LAFAYETTE HOTELS","ME","WELLS BEACH",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"51",1292283,"H-2B",2000,2000-04-17,"CERTIFIED, TEMPORARY",5,5,"True",NA,NA,"TRAVEL CLERK","LAFAYETTE HOTELS","ME","WELLS BEACH",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"52",1292496,"H-2B",2000,2000-04-17,"CERTIFIED, TEMPORARY",7,7,"True",NA,NA,"COOK","WOLTERBEEK ENTERPRISES, DBA JAKE'S SEAFOOD","ME","MOODY",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"53",1292661,"H-2B",2000,2000-04-20,"CERTIFIED, TEMPORARY",2,2,"True",NA,NA,"CLEANER, HOUSEKEEPING","VYE CORP., DBA HARBOR INN","ME","KENNEBUNKPORT",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"54",1292864,"H-2B",2000,2000-04-24,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"HOUSECLEANER","ATLANTIC BREEZE MOTEL","ME","OLD ORCHARD BEACH",NA,NA,NA,NA,NA,NA,NA,NA
"55",1292865,"H-2B",2000,2000-04-25,"CERTIFIED, TEMPORARY",6,6,"True",NA,NA,"WAITER/WAITRESS, FORMAL","LAFAYETTE HOTELS","ME","WELLS BEACH",NA,NA,NA,NA,NA,NA,NA,NA
"56",1292925,"H-2B",2000,2000-04-28,"CERTIFIED, TEMPORARY",6,6,"True",NA,NA,"KITCHEN HELPER","REALTY RESOURCES HOSPITALITY","ME","PORTLAND",NA,NA,NA,NA,NA,NA,NA,NA
"57",1292930,"H-2B",2000,2000-04-28,"CERTIFIED, TEMPORARY",3,3,"True",NA,NA,"CLEANER, HOUSEKEEPING","OCEAN POINT INN","ME","EAST BOOTH BAY",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"58",1292928,"H-2B",2000,2000-04-28,"CERTIFIED, TEMPORARY",8,8,"True",NA,NA,"KITCHEN HELPER","REALTY RESOURCES HOSPITALITY, ELLSWORTH L.L.C","ME","ELLSWORTH",NA,NA,NA,NA,NA,"REALTY RESOURCES:MICHAEL LABREE",NA,NA
"59",1292927,"H-2B",2000,2000-04-28,"CERTIFIED, TEMPORARY",3,3,"True",NA,NA,"KITCHEN HELPER","REALTY RESOURCES HOSPITALITY, AUBURN L.L.C","ME","AUBURN",NA,NA,NA,NA,NA,"REALTY RESOURCES:MICHAEL LABREE",NA,NA
"60",1292926,"H-2B",2000,2000-04-28,"CERTIFIED, TEMPORARY",8,8,"True",NA,NA,"KITCHEN HELPER","REALTY RESOURCES HOSPITALITY, AUBURN L.L.C","ME","AUBURN",NA,NA,NA,NA,NA,"REALTY RESOURCES:MICHAEL LABREE",NA,NA
"61",1292924,"H-2B",2000,2000-04-28,"CERTIFIED, TEMPORARY",6,6,"True",NA,NA,"KITCHEN HELPER","REALTY RESOURCES HOSPITALITY","ME","PORTLAND",NA,NA,NA,NA,NA,NA,NA,NA
"62",1293189,"H-2B",2000,2000-05-04,"RECEIVED REGIONAL OFFICE",4,0,"False",NA,NA,"CLEANER, HOUSEKEEPING","LINMURE INC., DBA SEA LATCH MOTOR INN","ME","YORK BEACH",NA,NA,NA,NA,NA,NA,NA,NA
"63",1293130,"H-2B",2000,2000-05-10,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"CLEANER, HOUSEKEEPING","KINFOLK ENTERPRISES INC., DBA EGGEMOGGIN LANDING","ME","LITTLE DEER ISLE",NA,NA,NA,NA,NA,NA,NA,NA
"64",1293126,"H-2B",2000,2000-05-10,"CERTIFIED, TEMPORARY",4,4,"True",NA,NA,"GUIDE","MAINE ISLAND KAYAK CO.","ME","PEAKS ISLAND",NA,NA,NA,NA,NA,NA,NA,NA
"65",1293274,"H-2B",2000,2000-05-11,"CERTIFIED, TEMPORARY",4,4,"True",NA,NA,"COOK HELPER","INN FOODS INC. DBA CHRISTOPHERS BOATHOUSE","ME","BOOTH BAY HARBOR",NA,NA,NA,NA,NA,NA,NA,NA
"66",1293129,"H-2B",2000,2000-05-12,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"KITCHEN HELPER","KINFOLK ENTERPRISES INC., DBA EGGEMOGGIN LANDING","ME","LITTLE DEER ISLE",NA,NA,NA,NA,NA,NA,NA,NA
"67",1293520,"H-2B",2000,2000-05-16,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"INSTRUCTOR, SPORTS","GOULD ENTERPRISES INC., DBA POINT SEBAGO RESORT","ME","CASCO",NA,NA,NA,NA,NA,NA,NA,NA
"68",1293584,"H-2B",2000,2000-05-17,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"DECKHAND, FISHING VESSEL","POCAHONTAS INC.","ME","HARPSWELL",NA,NA,NA,NA,NA,NA,NA,NA
"69",1293585,"H-2B",2000,2000-05-17,"CERTIFIED, TEMPORARY",15,15,"True",NA,NA,"FOREST WORKER","LES CONSULTANTS TECKTONIC INC.","ME","JACKMAN",NA,NA,NA,NA,NA,"VONDA L. KRUKOWSKI, BONDED LABOR AGENT:`VONDA KRUKOWSKI",NA,NA
"70",1294686,"H-2B",2000,2000-06-08,"CERTIFIED, TEMPORARY",8,8,"True",NA,NA,"CLEANER, HOUSEKEEPING","CLEANING SERVICES OF MAINE","ME","GORHAM",NA,NA,NA,NA,NA,NA,NA,NA
"71",1294772,"H-2B",2000,2000-06-27,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"TEACHER, ADVENTURE EDUCATION","ATLANTIC CLIMBING SCHOOL, INC.","ME","BAR HARBOR",NA,NA,NA,NA,NA,NA,NA,NA
"72",1295637,"H-2B",2000,2000-07-07,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"MANAGER, FOOD SERVICE","MAINE STREET OGUNQUIT INC., DBA MAINE STREET","ME","OGUNQUIT",NA,NA,NA,NA,NA,"BERNSTEIN, SHUR, SAWYER & NELSON:GEORGE HEPNER",NA,NA
"73",1297926,"H-2B",2000,2000-09-05,"CERTIFIED, TEMPORARY",6,6,"True",NA,NA,"WELDER, ARC","STEEL-PRO INCORPORATED","ME","ROCKLAND",NA,NA,NA,NA,NA,NA,NA,NA
"74",1298674,"H-2B",2000,2000-09-19,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"RECEIVING CHECKER","WILLIAM ATWOOD LOBSTER CO.","ME","SPRUCE HEAD",NA,NA,NA,NA,NA,NA,NA,NA
"75",1299806,"H-2B",2000,2000-09-29,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"INSTRUCTOR, SPORTS","CARRABASSETT VALLEY ACADEMY","ME","CARRABASSETT VALLEY",NA,NA,NA,NA,NA,NA,NA,NA
"76",1300678,"H-2B",2001,2000-10-12,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"RECREATION FACILITY ATTENDANT","SUNDAY RIVER SKIWAY","ME","BETHEL",NA,NA,NA,NA,NA,NA,NA,NA
"77",1300679,"H-2B",2001,2000-10-12,"CERTIFIED, TEMPORARY",50,50,"True",NA,NA,"INSTRUCTOR, SPORTS","SUNDAY RIVER SKIWAY","ME","BETHEL",NA,NA,NA,NA,NA,NA,NA,NA
"78",1300680,"H-2B",2001,2000-10-12,"CERTIFIED, TEMPORARY",25,25,"True",NA,NA,"DINING ROOM ATTENDANT","SUNDAY RIVER SKIWAY","ME","BETHEL",NA,NA,NA,NA,NA,NA,NA,NA
"79",1300681,"H-2B",2001,2000-10-12,"CERTIFIED, TEMPORARY",25,25,"True",NA,NA,"SKI TOW OPERATOR","SUNDAY RIVER SKIWAY","ME","BETHEL",NA,NA,NA,NA,NA,NA,NA,NA
"80",1300782,"H-2B",2001,2000-10-16,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"INSTRUCTOR, SPORTS","SUGARLOAF MOUNTAIN CORP.","ME","CARRABASSET VALLEY",NA,NA,NA,NA,NA,NA,NA,NA
"81",1302577,"H-2B",2001,2000-11-15,"CERTIFIED, TEMPORARY",2,2,"True",NA,NA,"DECKHAND, FISHING VESSEL","DAVID R. BOEGEL, DBA BOEGEL ENTERPRISES","ME","MONHEGAN ISLAND",NA,NA,NA,NA,NA,NA,NA,NA
"82",1303857,"H-2B",2001,2000-12-14,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"SHIPWRIGHT","ROCKPORT MARINE INC.","ME","ROCKPORT",NA,NA,NA,NA,NA,NA,NA,NA
"83",1304733,"H-2B",2001,2000-12-27,"CERTIFIED, TEMPORARY",5,5,"True",NA,NA,"HOTEL CLERK","LAFAYETTE HOTELS","ME","WELLS BEACH",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"84",1304734,"H-2B",2001,2000-12-27,"CERTIFIED, TEMPORARY",3,3,"True",NA,NA,"COOK, SHORT ORDER","LAFAYETTE HOTELS","ME","WELLS BEACH",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"85",1304732,"H-2B",2001,2000-12-27,"CERTIFIED, TEMPORARY",14,14,"True",NA,NA,"CLEANER, HOUSEKEEPING","LAFAYETTE HOTELS","ME","WELLS BEACH",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"86",1305691,"H-2B",2001,2001-01-12,"DENIED, TEMPORARY",1,0,"False",NA,NA,"CARPENTER, SHIP","LEE S. WILBUR & CO","ME","SOUTHWEST HARBOR",NA,NA,NA,NA,NA,NA,NA,NA
"87",1305677,"H-2B",2001,2001-01-16,"CERTIFIED, TEMPORARY",40,40,"True",NA,NA,"LABORER, TREE TAPPING","NORTHERN MAINE MAPLE","ME","MADISON",NA,NA,NA,NA,NA,NA,NA,NA
"88",1305675,"H-2B",2001,2001-01-16,"CERTIFIED, TEMPORARY",6,6,"True",NA,NA,"LABORER, TREE TAPPING","MAINE MAPLE RODUCTS, INC","ME","MADISON",NA,NA,NA,NA,NA,NA,NA,NA
"89",1306053,"H-2B",2001,2001-01-17,"CERTIFIED, TEMPORARY",90,90,"True",NA,NA,"LABORER, TREE TAPPING","ALLAGASH MAPLE PRODUCTS","ME","SKOWHEGAN",NA,NA,NA,NA,NA,NA,NA,NA
"90",1305674,"H-2B",2001,2001-01-17,"CERTIFIED, TEMPORARY",3,3,"True",NA,NA,"LABORER, TREE TAPPING","HILLTOP FARMS INC.","ME","MADISON",NA,NA,NA,NA,NA,NA,NA,NA
"91",1306122,"H-2B",2001,2001-01-22,"DENIED, TEMPORARY",5,0,"False",NA,NA,"FAST FOODS WORKER","BURGER KING (MC MANAGEMENT)","ME","PORTLAND",NA,NA,NA,NA,NA,NA,NA,NA
"92",1306306,"H-2B",2001,2001-01-24,"CERTIFIED, TEMPORARY",12,12,"True",NA,NA,"CLEANER, HOUSEKEEPING","ASPINQUID INC.","ME","OGUNQUIT",NA,NA,NA,NA,NA,NA,NA,NA
"93",1306305,"H-2B",2001,2001-01-24,"CERTIFIED, TEMPORARY",3,3,"True",NA,NA,"HOTEL CLERK","ASPINQUID INC.","ME","OGUNQUIT",NA,NA,NA,NA,NA,NA,NA,NA
"94",1306304,"H-2B",2001,2001-01-24,"DENIED, TEMPORARY",1,0,"False",NA,NA,"BOATBUILDER, WOOD","TENANTS HARBOR BOATYARD","ME","TENANTS HARBOR",NA,NA,NA,NA,NA,"BERNSTEIN, SHUR, SAWYER & NELSON:GEORGE HEPNER",NA,NA
"95",1306770,"H-2B",2001,2001-02-01,"RECEIVED REGIONAL OFFICE",12,0,"False",NA,NA,"CLEANER, HOUSEKEEPING","C.E.S. INC., DBA NORMANDIE MOTOR INN","ME","OLD ORCHARD BEACH",NA,NA,NA,NA,NA,NA,NA,NA
"96",1306771,"H-2B",2001,2001-02-05,"CERTIFIED, TEMPORARY",12,12,"True",NA,NA,"CLEANER, HOUSEKEEPING","C.E.S. INC., DBA NORMANDIE MOTOR INN","ME","OLD ORCHARD BEACH",NA,NA,NA,NA,NA,NA,NA,NA
"97",1306772,"H-2B",2001,2001-02-05,"CERTIFIED, TEMPORARY",3,3,"True",NA,NA,"HOTEL CLERK","C.E.S. INC., DBA NORMANDIE MOTOR INN","ME","OLD ORCHARD BEACH",NA,NA,NA,NA,NA,NA,NA,NA
"98",1306997,"H-2B",2001,2001-02-14,"CERTIFIED, TEMPORARY",4,4,"True",NA,NA,"SCULLION","ANCHORAGE BY THE SEA","ME","OGUNQUIT",NA,NA,NA,NA,NA,NA,NA,NA
"99",1306998,"H-2B",2001,2001-02-14,"CERTIFIED, TEMPORARY",25,25,"True",NA,NA,"CLEANER, HOUSEKEEPING","ANCHORAGE BY THE SEA","ME","OGUNQUIT",NA,NA,NA,NA,NA,NA,NA,NA
"100",1306994,"H-2B",2001,2001-02-14,"CERTIFIED, TEMPORARY",1,1,"True",NA,NA,"COOK","ANDREWS' HARBORSIDE INC","ME","BOOTHBAY HARBOR",NA,NA,NA,NA,NA,NA,NA,NA
"101",1306993,"H-2B",2001,2001-02-14,"CERTIFIED, TEMPORARY",12,12,"True",NA,NA,"KITCHEN HELPER","JACKIE'S TOO INC.","ME","OQUNQUIT",NA,NA,NA,NA,NA,NA,NA,NA
"102",1307027,"H-2B",2001,2001-02-16,"CERTIFIED, TEMPORARY",10,10,"True",NA,NA,"KITCHEN HELPER","BILLY'S CHOWDER HOUSE","ME","WELLS",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"103",1307029,"H-2B",2001,2001-02-20,"DENIED, TEMPORARY",5,0,"False",NA,NA,NA,"IMPERIAL HELL DRIVERS","ME","WINDSOR",NA,NA,NA,NA,NA,NA,NA,NA
"104",1307028,"H-2B",2001,2001-02-20,"CERTIFIED, TEMPORARY",5,5,"True",NA,NA,"FAST FOODS WORKER","BURGER KING (MC MANAGEMENT)","ME","PORTLAND",NA,NA,NA,NA,NA,NA,NA,NA
"105",1307062,"H-2B",2001,2001-02-22,"DENIED, TEMPORARY",1,0,"False",NA,NA,"LANDSCAPE GARDENER","SALMON FALLS NURSERY, INC.","ME","BERWICK",NA,NA,NA,NA,NA,NA,NA,NA
