CASE_NUMBER,DECISION_DATE,VISA_CLASS,SUBMITTED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_TITLE,NAICS_CODE,WORKERS_REQUESTED,WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,OVERTIME_PAY_RANGE_UNIT,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDUCATION,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQUIRED,NUM_MONTHS_TRAINING,NAME_REQUIRED_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION
H-400-16365-115014,1-Mar-17,H-2B,1-Jan-17,Certification,1-Apr-17,30-Nov-17,ST. ANTHONY'S MONASTERY ASSOCIATION INC,Po Box 273,26 Beach Avenue,Kennebunk,ME,4043,United States Of America,N/A,207-967-2011,,U.S. Americans Inc,John Gismondi,Westbury,NY,Speciality Cook,35-2014,"Cooks, Restaurant",722310,2,2,Y,Seasonal,$11.96 ,Hour,17.94,17.94,,N,,None,N/A,NONE,N,,N,,,Y,1,KENNEBUNK,ME,4043,N
H-400-16365-617684,7-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,15-Nov-17,GREY HAVENS INN,Po Box 1307,96 Seguinland Road,Kennebunk,ME,4043,United States Of America,N/A,207-371-2616,,U.S. Americans Inc,John Gismondi,Westbury,NY,Housekeeping,37-2012,Maids And Housekeeping Cleaners,721110,2,2,Y,Seasonal,$10.50 ,Hour,15.75,15.75,,N,,None,N/A,N/A,N,,N,,,Y,1,GEORGETOWN,ME,4548,N
H-400-16365-709492,7-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,1-Nov-17,YOUNGS LOBSTER POUND,2 Fairway Street,N/a,Belfast,ME,4915,United States Of America,N/A,207-338-1160,,U.S. Americans Inc,John Gismondi,Westbury,NY,Cashiers,41-2011,Cashiers,721110,12,12,Y,Seasonal,$9.85 ,Hour,14.78,14.78,,N,,None,N/A,N/A,N,,N,,,Y,1,BELFAST,ME,4915,N
H-400-16365-317156,27-Jan-17,H-2B,1-Jan-17,Certification,1-Apr-17,15-Oct-17,CNLP INC,Po Box One,605 Shore Road,Cape Neddick,ME,3902,United States Of America,N/A,207-363-5471,,U.S. Americans Inc,John Gismondi,Westbury,NY,"Cooks, Short Order",35-2015,"Cooks, Short Order",721110,4,4,Y,Seasonal,$10.70 ,Hour,16.05,16.05,,N,,None,N/A,N/A,N,,N,,,N,,CAPE NEDDICK,ME,3902,N
H-400-16366-023188,28-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,1-Dec-17,York River Landscaping,40 Orchard Farm,,York,ME,3909,United States Of America,,207-351-5448,,"Law Office Of Michele Contreras, Llc",Michele Contreras,Cherry Hill,NJ,Landscape Laborer,37-3011,Landscaping And Groundskeeping Workers,561730,5,5,Y,Seasonal,$13.90 ,Hour,20.85,,,N,,None,,,N,,N,,,N,,York,ME,3909,Y
H-400-16366-159103,23-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,31-Oct-17,Midway Motel Inc.,424 Post Road,,Wells,ME,4090,United States Of America,,207-646-6066,,Law Office Of Michele Contreras,Michele Contreras,Cherry Hill,NJ,Housekeeper,37-2012,Maids And Housekeeping Cleaners,721110,7,7,Y,Seasonal,$10.24 ,Hour,15.36,,,N,,None,,,N,,N,,,N,,Wells,ME,4090,N
H-400-16366-339927,6-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,20-Oct-17,BAYLEY'S LOBSTER POUND,9 Avenue Six,N/a,Scarborough,ME,4074,United States Of America,N/A,207-883-4571,,"H2 Visa Consultants, Llc",Robert Mccubbin,Missoula,MT,Cook,35-2015,"Cooks, Short Order",7221,4,4,Y,Seasonal,$9.93 ,Hour,14.9,14.9,,N,,None,N/A,N/A,N,,N,,,Y,3,SCARBOROUGH,ME,4074,N
H-400-16366-521072,7-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,30-Nov-17,ELMWOOD HOTEL,1351 Post Road,N/a,Wells,ME,4090,United States Of America,N/A,207-646-1038,,U.S. Americans Inc,John Gismondi,Westbury,NY,Housekeeping,37-2012,Maids And Housekeeping Cleaners,721110,8,8,Y,Seasonal,$10.25 ,Hour,15.38,15.38,,N,,None,N/A,N/A,N,,N,,,Y,1,WELLS,ME,4090,N
H-400-16366-838194,9-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,15-Nov-17,Amin Hotels Inc.,17 Post Road,,Wells,ME,4090,United States Of America,,207-646-9611,,Law Office Of Michele Contreras,Michele Contreras,Cherry Hill,NJ,Housekeeper,37-2012,Maids And Housekeeping Cleaners,721110,9,9,Y,Seasonal,$10.24 ,Hour,15.36,,,N,,None,,,N,,N,,,N,,Wells,ME,4090,N
H-400-16319-287336,16-Mar-17,H-2B,2-Jan-17,Certification,1-Apr-17,31-Oct-17,"WOLTERBEEK ENTERPRISES, INC.",P.O. Box 454,"139 Post Road, Wells, Maine, 04090 (physical Address Only)",Moody,ME,4054,United States Of America,N/A,207-646-6771,,Peak Season Workforce,Joseph Bishop,Glen Allen,VA,Short Order Cook,35-2015,"Cooks, Short Order",722211,13,13,Y,Peakload,$10.55 ,Hour,15.83,,,N,,None,N/A,N/A,N,,N,,,Y,3,WELLS,ME,4090,N
H-400-17002-211051,22-Feb-17,H-2B,2-Jan-17,Certification,1-Apr-17,15-Nov-17,THE GRAND HOTEL LLC,276 Shore Road,Po Box 1526,Ogunquit,ME,3907,United States Of America,,207-646-1231,,"Global Employment Services, Inc.",Robert Laltoo,York,ME,Housekeeper,37-2012,Maids And Housekeeping Cleaners,721110,12,12,Y,Seasonal,$10.24 ,Hour,,,,N,,None,,,N,,N,,,Y,1,OGUNQUIT,ME,3907,N
H-400-17002-314725,17-Feb-17,H-2B,2-Jan-17,Certification,1-Apr-17,30-Nov-17,US Hotels New England LLC,127 Ocean Ave,Po Box 5600,Kennebunkport,ME,4046,United States Of America,,207-967-4750,,"Global Employment Services, Inc",Robert Laltoo,York,ME,Housekeeper,37-2012,Maids And Housekeeping Cleaners,721110,14,14,Y,Peakload,$10.07 ,Hour,,,,N,,None,,,N,,N,,,Y,1,Kennebunkport,ME,4046,Y
H-400-17002-231882,16-Feb-17,H-2B,2-Jan-17,Certification,1-Apr-17,31-Oct-17,RIVERSIDE HOTEL AND MOTEL,50 Riverside Lane,Po Box 2244,Ogunquit,ME,3907,United States Of America,,207-646-2741,,"Global Employment Services, Inc.",Robert Laltoo,North Bay Village,FL,Housekeeper,37-2012,Maids And Housekeeping Cleaners,721110,12,12,Y,Seasonal,$10.24 ,Hour,,,,N,,None,,,N,,N,,,Y,1,Ogunquit,ME,3907,N
H-400-17002-011522,23-Feb-17,H-2B,2-Jan-17,Certification,1-Apr-17,10-Nov-17,The Meadowmere Resort,74 Main Street,Po Box 2347,Ogunquit,ME,3907,United States Of America,,207-646-9661,,"Global Employment Services, Inc",Robert Laltoo,North Bay Village,FL,Front Desk Clerk,43-4081,"Hotel, Motel, And Resort Desk Clerks",721110,2,2,Y,Peakload,$13.30 ,Hour,,,,N,,None,,,N,,N,,,Y,1,Ogunquit,ME,3907,N
H-400-17002-481923,23-Feb-17,H-2B,2-Jan-17,Certification,1-Apr-17,10-Nov-17,The Meadowmere Resort,74 Main Street,Po Box 2347,Ogunquit,ME,3907,United States Of America,,207-646-9661,,"Global Employment Services, Inc",Robert Laltoo,North Bay Village,FL,Short Order Cook,35-2015,"Cooks, Short Order",721110,6,6,Y,Peakload,$10.55 ,Hour,,,,N,,None,,,N,,N,,,Y,1,Ogunquit,ME,3907,N
H-400-17002-380066,1-Mar-17,H-2B,2-Jan-17,Certification,1-Apr-17,10-Nov-17,The Meadowmere Resort,74 Main Street,Po Box 2347,Ogunquit,ME,3907,United States Of America,,207-646-9661,,"Global Employment Services, Inc",Robert Laltoo,North Bay Village,FL,Housekeeper,37-2012,Maids And Housekeeping Cleaners,721110,12,12,Y,Peakload,$10.24 ,Hour,,,,N,,None,,,N,,N,,,Y,1,Ogunquit,ME,3907,N
H-400-17003-634075,21-Feb-17,H-2B,3-Jan-17,Certification,1-Apr-17,31-Oct-17,"EFH, Inc/CUTTY SARK MOTEL",Po Box 135,58 Long Beach Avenue,York Beach,ME,3910,United States Of America,N/A,207-363-5131,,U.S. Americans Inc,John Gismondi,Westbury,NY,Housekeeping,37-2012,Maids And Housekeeping Cleaners,721110,4,4,Y,Seasonal,$10.60 ,Hour,15.9,15.9,,N,,None,N/A,N/A,N,,N,,,Y,1,YORK BEACH,ME,3910,N
H-400-17003-731196,21-Feb-17,H-2B,3-Jan-17,Certification,1-Apr-17,2-Nov-17,CHEZ MICHEL RESTAURANT,Po Box 36,2530 Atlantic Highway,Lincolnville,ME,4849,United States Of America,N/A,207-975-1045,,U.S. Americans Inc,John Gismondi,Westbury,NY,Food Preparation Worker,35-2021,Food Preparation Workers,722310,4,4,Y,Seasonal,$10.85 ,Hour,16.28,16.28,,N,,None,N/A,NONE,N,,N,,,Y,1,LINCOLNVILLE,ME,4849,N
H-400-16319-204866,13-Mar-17,H-2B,4-Jan-17,Certification,1-Apr-17,1-Nov-17,"MIKE'S CLAM SHACK, INC.",1150 Post Road,N/a,Wells,ME,4090,United States Of America,N/A,207-646-5999,,Peak Season Workforce,Joseph Bishop,Glen Allen,VA,Short Order Cook,35-2015,"Cooks, Short Order",721110,12,12,Y,Seasonal,$10.55 ,Hour,15.83,,,N,,None,N/A,N/A,N,,N,,,Y,3,WELLS,ME,4090,N
H-400-17003-369776,16-Mar-17,H-2B,4-Jan-17,Certification,1-Apr-17,31-Oct-17,"Three Bears, Inc.",47 Holland Ave.,,Bar Harbor,ME,4609,United States Of America,,207-288-3829,,"Savatteri Law Firm, Pc",Sal Savatteri,Portland,ME,Housekeeper,37-2012,Maids And Housekeeping Cleaners,721110,10,10,Y,Seasonal,$10.28 ,Hour,,,,N,,None,,,N,,N,,,N,,Bar Harbor,ME,4609,N
H-400-17004-334713,23-Feb-17,H-2B,4-Jan-17,Certification,1-Apr-17,31-Oct-17,SEA CHAMBERS MOTEL,Po Box 916,67 Shore Road,Ogunquit,ME,3907,United States Of America,N/A,207-646-9311,,U.S. Americans Inc,John Gismondi,Westbury,NY,Housekeeping,37-2012,Maids And Housekeeping Cleaners,721110,8,8,Y,Seasonal,$10.25 ,Hour,15.38,15.38,,N,,None,N/A,N/A,N,,N,,,Y,1,OGUNQUIT,ME,3907,N
H-400-16319-460129,15-Mar-17,H-2B,5-Jan-17,Certification,1-Apr-17,30-Nov-17,LAFAYETTE OLD ORCHARD LLC,87 West Grand Avenue,N/a,Old Orchard Beach,ME,4064,United States Of America,N/A,207-934-4949,,Peak Season Workforce,Joseph Bishop,Glen Allen,VA,Housekeepers,37-2012.00,Maids And Housekeeping Cleaners,721110,15,15,Y,Peakload,$10.07 ,Hour,15.11,,,N,,None,N/A,N/A,N,,N,,,Y,3,OLD ORCHARD BEACH,ME,4064,Y
H-400-17005-732336,27-Feb-17,H-2B,5-Jan-17,Certification,2-Apr-17,1-Jan-18,HARTSTONE INN INC.,41 Elm Street,,Camden,ME,4843,United States Of America,,207-236-4259,,"Martinez & Sordo, P.A.",Emilio Martinez,Miami,FL,Cook,35-2014,"Cooks, Restaurant",721110,2,2,Y,Seasonal,$12.50 ,Hour,18.75,,,N,,None,,,N,,N,,,Y,6,CAMDEN,ME,4843,N
H-400-17005-101922,28-Feb-17,H-2B,5-Jan-17,Certification,2-Apr-17,1-Jan-18,HARTSTONE INN INC.,41 Elm Street,,Camden,ME,4843,United States Of America,,207-236-4259,,"Martinez & Sordo, P.A.",Emilio Martinez,Miami,FL,Housekeepers,37-2012,Maids And Housekeeping Cleaners,721110,3,3,Y,Seasonal,$10.24 ,Hour,15.36,,,N,,None,,,N,,N,,,Y,1,CAMDEN,ME,4843,N
H-400-17005-383874,28-Feb-17,H-2B,5-Jan-17,Certification,1-Apr-17,15-Nov-17,"INN AT SUNRISE POINT, LLC",55 Sunrise Point Road,,Lincolnville,ME,4849,United States Of America,,207-236-7716,,"Martinez & Sordo, P.A.",Emilio Martinez,Miami,FL,Housekeeper,37-2012,Maids And Housekeeping Cleaners,721110,2,2,Y,Seasonal,$11.00 ,Hour,16.5,,,N,,None,,,N,,N,,,Y,1,LINCOLNVILLE,ME,4849,N
H-400-17005-112739,2-Mar-17,H-2B,5-Jan-17,Certification,1-Apr-17,1-Nov-17,SRS LLC,214 Shore Road,,Ogunquit,ME,3907,United States Of America,,207-646-7300,,"Global Employment Services, Inc.",Robert Laltoo,North Bay Village,FL,Housekeeper,37-2012,Maids And Housekeeping Cleaners,721110,7,7,Y,Seasonal,$10.24 ,Hour,,,,N,,None,,,N,,N,,,Y,1,OGUNQUIT,ME,3907,N
