Amount,Candidate or committee,Candidate,Date,Employer,Number of Records,Occupation,Purpose,Recipient,Source,Table Name,Type of contribution
50,Sweet,"Sweet, Elizabeth",8/25/15,Self Employed,1,Lobbyist,Monetary (Itemized),Women's Leadership Fund,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
-100,Sweet,"Sweet, Elizabeth",8/10/17,Self,1,Other,Returned Contribution,Actblue Maine,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
100,Sweet,"Sweet, Elizabeth",8/10/17,Self,1,Other,Monetary (Itemized),Actblue Maine,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
70,Sweet,"Sweet, Elizabeth",8/15/17,Self,1,Other,Monetary (Itemized),Actblue Maine,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
-50,Sweet,"Sweet, Elizabeth",9/10/17,Self,1,Other,Returned Contribution,Actblue Maine,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
50,Sweet,"Sweet, Elizabeth",9/10/17,Self,1,Other,Monetary (Itemized),Actblue Maine,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
-70,Sweet,"Sweet, Elizabeth",12/30/17,Self,1,Other,Returned Contribution,Actblue Maine,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
70,Sweet,"Sweet, Elizabeth",12/30/17,Self,1,Other,Monetary (Itemized),Actblue Maine,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
500,Sweet,"Sweet, Elizabeth",12/30/95,,1,Consultant,,"Mccormick, Dale (d)",Opensecrets.org,democratic-candidate-contributions.csv,Personal
500,Sweet,"Sweet, Elizabeth",3/28/96,,1,Mooseridge Associates,,"Mccormick, Dale (d)",Opensecrets.org,democratic-candidate-contributions.csv,Personal
200,Sweet,"Sweet, Elizabeth",12/31/99,,1,Moose Ridge Associates,,"Lawrence, Mark (d)",Opensecrets.org,democratic-candidate-contributions.csv,Personal
250,Sweet,"Sweet, Elizabeth",12/28/01,,1,Moose Ridge Associates,,"Pingree, Chellie (d)",Opensecrets.org,democratic-candidate-contributions.csv,Personal
500,Sweet,"Sweet, Elizabeth",5/12/07,,1,Moose Ridge Associates,,"Strimling, Ethan (d)",Opensecrets.org,democratic-candidate-contributions.csv,Personal
500,Sweet,"Sweet, Elizabeth",6/29/07,,1,Moose Ridge Associates,,"Strimling, Ethan (d)",Opensecrets.org,democratic-candidate-contributions.csv,Personal
500,Sweet,"Sweet, Elizabeth",12/27/07,,1,Moose Ridge Associates,,"Strimling, Ethan (d)",Opensecrets.org,democratic-candidate-contributions.csv,Personal
300,Sweet,"Sweet, Elizabeth",3/27/08,,1,Moose Ridge Associates,,"Strimling, Ethan (d)",Opensecrets.org,democratic-candidate-contributions.csv,Personal
200,Sweet,"Sweet, Elizabeth",5/19/08,,1,Moose Ridge Associates,,"Strimling, Ethan (d)",Opensecrets.org,democratic-candidate-contributions.csv,Personal
50,Sweet,"Sweet, Betsy A",9/17/09,Information Requested,1,Information Requested,,No On 1 Protect Maine Equality,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
100,Sweet,"Sweet, Betsy A",12/9/09,Moose Ridge Associates,1,Consultant,,"Rowe, Steve",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
50,Sweet,"Sweet, Betsy",9/10/15,Moose Ridge,1,,Monetary (Itemized),Mccabe For Leadership,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
250,Sweet,"Sweet, Betsy",6/29/99,,1,Moose Ridge Associates,,"Lawrence, Mark (d)",Opensecrets.org,democratic-candidate-contributions.csv,Personal
25,Russell,"Russell, Diane M",10/14/09,1skyorg,1,Field Organizer,,No On 1 Protect Maine Equality,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
38,Russell,"Russell, Diane M",10/21/09,1skyorg,1,Field Organizer,,No On 1 Protect Maine Equality,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
50,Russell,"Russell, Diane M",11/2/09,1skyorg,1,Field Organizer,,No On 1 Protect Maine Equality,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
10,Russell,"Russell, Diane M",8/26/10,Maine House Of Reps,1,State Rep,Earmark Contribution|Earmark To: COMMITTEE TO ELECT MACDONALD D'ALESSANDRO,Moveon.Org,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
10,Russell,"Russell, Diane M",8/26/10,Maine House Of Reps,1,State Rep,Earmark Contribution|Earmark To: KUSTER FOR CONGRESS,Moveon.Org,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
25,Russell,"Russell, Diane M",3/7/11,,1,,,State Senate Democratic Cmte Of Wisconsin,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
15,Russell,"Russell, Diane M",5/18/11,Maine State House,1,State Representative,Earmark Contribution Earmark To: NEW YORK STATE COMMITTEE OF THE WORKING FAMILIES PARTY,Moveon.Org,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
100,Russell,"Russell, Diane M",1/11/14,State Representative,1,Government/civil,Monetary (Itemized); Individual,"Fecteau, Ryan M",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
400,Russell,"Russell, Diane M",3/28/15,Maine House Of Representatives,1,Other,FOOD AND DRINKS FOR FUNDRAISER,Campaign To Regulate Marijuana Like Alcohol,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
25,Russell,"Russell, Diane M",9/24/15,Maine State Legislature,1,Government/civil,,Mainers For Accountable Elections,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
25,Russell,"Russell, Diane M",8/11/16,Maine House Of Representatives,1,Government/civil,,Committee For Ranked Choice Voting,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
1100,Russell,"Russell, Diane M",5/13/16,,1,Maine House Of Reps,,Maine Democratic Party,Opensecrets.org,democratic-candidate-contributions.csv,Personal
10,Russell,"Russell, Diane M",9/21/16,,1,Maine House Of Reps,,Maine Democratic Party,Opensecrets.org,democratic-candidate-contributions.csv,Personal
170,Russell,"Russell, Diane M",12/1/17,,1,Women's Action For New Directions,,Maine Democratic Party,Opensecrets.org,democratic-candidate-contributions.csv,Personal
25,Russell,"Russell, Diane",10/15/09,State Of Maine,1,Legislator,Monetary (Itemized),Maine Freedom To Marry Coalition,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
35,Russell,"Russell, Diane",3/22/10,Maine House Of Representatives,1,State Rep,Monetary (Itemized),Portland Democratic City Committee,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
30,Russell,"Russell, Diane",5/13/11,Maine State House Of Representatives,1,State Rep,Monetary (Itemized),Portland Democratic City Committee,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
15,Russell,"Russell, Diane",7/24/09,Cashier,1,Colucci's,Monetary (Itemized),Oxford County Democratic Party,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
10,Russell,"Russell, Diane",10/12/11,Maine House Of Representatives,1,Maine State Representative,Monetary (Itemized),Maine's Majority Pac,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
35,Russell,"Russell, Diane",8/20/09,1sky.Org,1,Field Organizer,Monetary (Itemized),Maine Freedom To Marry Coalition,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
45,Russell,"Russell, Diane",5/29/12,Rep. Diane Russell,1,State Representative,Monetary (Itemized),Maine Democratic State Committee,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
20,Russell,"Russell, Diane",9/29/12,Maine House,1,State Rep,Monetary (Itemized),Friends Of Henry Beck,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
250,Russell,"Russell, Diane",7/27/13,Working Families PAC,1,Pac Donation,Monetary (Itemized),For The Win Pac,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
150,Russell,"Russell, Diane",10/16/13,Pac Donation,1,Other,Monetary (Itemized),Actblue Maine,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
115,Russell,"Russell, Diane",10/7/14,Maine House,1,Government/civil,Monetary (Itemized),Working Families Pac,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
25,Russell,"Russell, Diane",4/5/16,Pac Donation,1,Other,Monetary (Itemized),Actblue Maine,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
50,Russell,"Russell, Diane",7/16/17,Pac Donation,1,Other,Monetary (Itemized),Actblue Maine,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
100,Russell,"Russell, Diane",12/2/17,Self,1,Other,Monetary (Itemized),Actblue Maine,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
25,Russell,"Russell, Diane",10/7/16,,1,Me House Of Representatives,,"Cain, Emily (d)",Opensecrets.org,democratic-candidate-contributions.csv,Personal
120,Mills,"Mills, Janet T",2/9/94,Androscoggin County,1,Da,,"Brennan, Joseph E",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
101,Mills,"Mills, Janet T",10/14/94,Androscoggin County,1,District Attorney,,"Brennan, Joseph E",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
25,Mills,"Mills, Janet T",9/20/96,,1,,,"Burrill, James",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
200,Mills,"Mills, Janet T",3/28/98,,1,Lawyer,,"Krauss, Christine",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
100,Mills,"Mills, Janet T",9/6/00,,1,Attorney At Law Farmington Me,,"Hall, Christopher G L",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
100,Mills,"Mills, Janet T",10/27/03,,1,,,Casinos No!,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
25,Mills,"Mills, Janet T",3/2/04,,1,Attorney,,"Hanslip, Joseph R",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
25,Mills,"Mills, Janet T",3/8/04,,1,,,"Mills, Janet T",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Self-financing
50,Mills,"Mills, Janet T",4/10/04,,1,,,"Mills, Janet T",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Self-financing
101,Mills,"Mills, Janet T",5/27/05,,1,State Representative,,House Democratic Campaign Committee,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
50,Mills,"Mills, Janet T",2/2/06,,1,,,"Mills, Janet T",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Self-financing
250,Mills,"Mills, Janet T",8/23/06,Wright & Mills,1,Attorney,,"Baldacci, John E",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
101,Mills,"Mills, Janet T",5/29/07,State Of Maine,1,Legislator,,House Democratic Campaign Committee,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
50,Mills,"Mills, Janet T",2/14/08,,1,,,"Mills, Janet T",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Self-financing
50,Mills,"Mills, Janet T",4/12/08,,1,,,"Mills, Janet T",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Self-financing
100,Mills,"Mills, Janet T",7/22/09,State Of Maine,1,Attorney General,,House Democratic Campaign Committee,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
100,Mills,"Mills, Janet T",11/30/09,State Of Maine,1,Attorney General,,"Mills, S Peter",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
300,Mills,"Mills, Janet T",11/30/09,State Of Maine,1,Attorney General Of Maine,,Martha Coakley Campaign Cmte,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
25,Mills,"Mills, Janet T",5/25/10,,1,Attorney General,,Maine Democratic Party,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
250,Mills,"Mills, Janet T",5/27/10,State Of Maine,1,Attorney General,,House Democratic Campaign Committee,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
63,Mills,"Mills, Janet T",6/22/10,,1,Attorney General,,Maine Democratic Party,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
200,Mills,"Mills, Janet T",9/29/11,"Flaherty, Preti",1,Attorney,,American Federation Of State County & Municipal Employees / Afscme,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
100,Mills,"Mills, Janet T",11/2/11,"Flaherty, Preti",1,Attorney,,American Federation Of State County & Municipal Employees / Afscme,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
250,Mills,"Mills, Janet T",1/3/12,"Flaherty, Preti",1,Attorney,,House Democratic Campaign Committee,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
50,Mills,"Mills, Janet T",4/14/12,,1,,,"Welch, Keith",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
100,Mills,"Mills, Janet T",4/17/12,Preti Flaherty Llp,1,Attorney,,"Spey, Adam",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
218,Mills,"Mills, Janet T",5/23/12,,1,,,Maine Democratic Party,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
100,Mills,"Mills, Janet T",7/20/12,,1,Info Requested,,"Cleveland, John J",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
50,Mills,"Mills, Janet T",8/14/12,Self-employed,1,Lawyer,,"Dill, James F",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
50,Mills,"Mills, Janet T",8/19/12,Pretiflaherty,1,Attorney,,"Mclean, Andrew",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
50,Mills,"Mills, Janet T",9/10/12,"Self,",1,Attorney,,"Chenette, Justin M",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
50,Mills,"Mills, Janet T",10/10/12,"Flaherty, Preti",1,Attorney,,"Kaenrath, Bryan T",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
100,Mills,"Mills, Janet T",12/3/12,"Flaherty, Preti",1,Attorney,,House Democratic Campaign Committee,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
500,Mills,"Mills, Janet T",11/7/13,State Of Maine,1,Other; Attorney General,Individual,Michael H Michaud,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
200,Mills,"Mills, Janet T",7/14/14,State Of Maine,1,Other; Attorney General,,Michael H Michaud,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
250,Mills,"Mills, Janet T",7/14/14,State Of Maine,1,Attorney General,,Emily Ann Cain Campaign Cmte,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
45,Mills,"Mills, Janet T",7/22/14,Maine Attorney General,1,Attorney/legal,Monetary (Itemized); CAMPAIGN CONTRIBUTION,"May, Warren Charlotte",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
25,Mills,"Mills, Janet T",8/25/14,State Of Maine,1,Other; Attorney General,Individual,Michael H Michaud,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
150,Mills,"Mills, Janet T",8/13/15,State Of Maine,1,Other,,Senate Democratic Campaign Committee,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
150,Mills,"Mills, Janet T",8/25/15,State Of Maine,1,Attorney/legal,,House Democratic Campaign Committee,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
100,Mills,"Mills, Janet T",1/5/16,State Of Maine,1,Other; Attorney General,,Senate Democratic Campaign Committee,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
100,Mills,"Mills, Janet T",1/5/16,State Of Maine,1,Attorney/legal,CONTRIBUTION,House Democratic Campaign Committee,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
450,Mills,"Mills, Janet T",1/29/16,State Of Maine,1,Attorney,,Hillary Rodham Clinton Campaign Cmte,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
200,Mills,"Mills, Janet T",2/3/16,State Of Maine,1,Other; Attorney General,,Senate Democratic Campaign Committee,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
500,Mills,"Mills, Janet T",3/19/16,State Of Maine,1,Attorney General,,Emily Ann Cain Campaign Cmte,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
500,Mills,"Mills, Janet T",6/13/16,State Of Maine,1,Attorney General,,Emily Ann Cain Campaign Cmte,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
250,Mills,"Mills, Janet T",6/15/16,State Of Maine,1,Attorney,,Hillary Rodham Clinton Campaign Cmte,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
25,Mills,"Mills, Janet T",7/22/16,State Of Maine,1,Government/civil,,"Landry, Scott",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
-25,Mills,"Mills, Janet T",7/22/16,State Of Maine,1,Government/civil,,"Landry, Scott",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
25,Mills,"Mills, Janet T",7/22/16,State Of Maine,1,Government/civil,,"Landry, Scott",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
100,Mills,"Mills, Janet T",8/18/16,State Of Maine,1,Attorney General,Individual Contribution,"Stein, Joshua H (josh)",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
500,Mills,"Mills, Janet T",9/16/16,State Of Maine,1,Attorney,,Hillary Rodham Clinton Campaign Cmte,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
500,Mills,"Mills, Janet T",10/27/16,State Of Maine,1,Attorney/legal; Attorney General,,Mainers For Fair Wages Pac,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
250,Mills,"Mills, Janet T",10/27/16,State Of Maine,1,Government/civil,CHECK # 9821,"Landry, Scott",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
500,Mills,"Mills, Janet T",7/2/17,Preti Flaherty Beliveau & PAChios Llp,1,Attorney/legal,,"Mills, Janet T",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Self-financing
1000,Mills,"Mills, Janet T",7/2/17,Preti Flaherty Beliveau & PAChios Llp,1,Attorney/legal,,"Mills, Janet T",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Self-financing
-500,Mills,"Mills, Janet T",12/30/17,State Of Maine,1,Attorney/legal,Offset due to update of filed item,"Mills, Janet T",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Self-financing
500,Mills,"Mills, Janet T",12/30/17,State Of Maine,1,Attorney/legal,,"Mills, Janet T",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Self-financing
500,Mills,"Mills, Janet T",12/30/17,Preti Flaherty Beliveau & PAChios Llp,1,Attorney/legal,,"Mills, Janet T",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Self-financing
250,Mills,"Mills, Janet T",9/12/90,,1,District Attorney,,"Mcgowan, Patrick K",Opensecrets.org,democratic-candidate-contributions.csv,Personal
200,Mills,"Mills, Janet T",11/5/90,,1,State Of Maine,,"Mcgowan, Patrick K",Opensecrets.org,democratic-candidate-contributions.csv,Personal
300,Mills,"Mills, Janet T",10/26/92,,1,State Of Maine,,"Mcgowan, Patrick K",Opensecrets.org,democratic-candidate-contributions.csv,Personal
500,Mills,"Mills, Janet T",8/6/04,,1,Attorney,,"Kerry, John (d)",Opensecrets.org,democratic-candidate-contributions.csv,Personal
250,Mills,"Mills, Janet T",10/18/04,,1,Attorney,,Dnc Services Corp (d),Opensecrets.org,democratic-candidate-contributions.csv,Personal
250,Mills,"Mills, Janet T",6/17/09,,1,State Of Maine,,Maine Democratic Party,Opensecrets.org,democratic-candidate-contributions.csv,Personal
250,Mills,"Mills, Janet T",3/3/11,,1,Preti Flaherty/attorney,,Maine Democratic Party,Opensecrets.org,democratic-candidate-contributions.csv,Personal
200,Mills,"Mills, Janet T",6/15/11,,1,Preti Flaherty/attorney,,Maine Democratic Party,Opensecrets.org,democratic-candidate-contributions.csv,Personal
250,Mills,"Mills, Janet T",8/10/15,,1,Preti Flaherty,,Maine Democratic Party,Opensecrets.org,democratic-candidate-contributions.csv,Personal
200,Mills,"Mills, Janet T",12/14/15,,1,Preti Flaherty,,Maine Democratic Party,Opensecrets.org,democratic-candidate-contributions.csv,Personal
250,Mills,"Mills, Janet T",8/8/16,,1,Preti Flaherty,,Maine Democratic Party,Opensecrets.org,democratic-candidate-contributions.csv,Personal
100,Mills,"Mills, Janet T",10/3/16,,1,Preti Flaherty,,Maine Democratic Party,Opensecrets.org,democratic-candidate-contributions.csv,Personal
250,Mills,"Mills, Janet T",7/31/17,,1,State Of Maine,,Maine Democratic Party,Opensecrets.org,democratic-candidate-contributions.csv,Personal
200,Mills,"Mills, Janet T",9/29/11,Preti Flaherty,1,Attorney,Monetary (Itemized),Protect Maine Votes Pac,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
100,Mills,"Mills, Janet T",11/2/11,Preti Flaherty,1,Attorney,Monetary (Itemized),Protect Maine Votes Pac,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
50,Mills,"Mills, Janet T",10/22/12,,1,,Monetary (Itemized),Maine Women's Leadership Pac,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
200,Mills,"Mills, Janet T",9/29/15,State Of Maine,1,Attorney/legal,Monetary (Itemized),The Dawn Hill Pac,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
100,Mills,"Mills, Janet T",3/17/16,State Of Maine,1,Attorney/legal,Monetary (Itemized),Senate Democrats Special Election Fund,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
75,Mills,"Mills, Janet T",3/19/17,State Of Maine,1,Other,Monetary (Itemized),Actblue Maine,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
200,Mills,"Mills, Janet",3/29/93,,1,Attorney-da,,Maine Democratic Party,Opensecrets.org,democratic-candidate-contributions.csv,Personal
250,Mills,"Mills, Janet",6/29/96,,1,Attorney,,Maine Democratic Party,Opensecrets.org,democratic-candidate-contributions.csv,Personal
250,Mills,"Mills, Janet",12/28/99,,1,Wright & Mills Pa,,"Lawrence, Mark (d)",Opensecrets.org,democratic-candidate-contributions.csv,Personal
500,Mills,"Mills, Janet",12/15/03,,1,Information Requested,,"Clark, Wesley (d)",Opensecrets.org,democratic-candidate-contributions.csv,Personal
500,Mills,"Mills, Janet",9/16/16,,1,State Of Maine,,"Clinton, Hillary (d)",Opensecrets.org,democratic-candidate-contributions.csv,Personal
250,Mills,"Mills, Janet",5/15/17,,1,State Of Maine,,Maine Democratic Party,Opensecrets.org,democratic-candidate-contributions.csv,Personal
60,Eves,"Eves, Mark Westwood",5/28/10,,1,Therapist,,Maine Democratic Party,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
500,Eves,"Eves, Mark Westwood",11/8/11,State Of Maine,1,State Representative,,American Federation Of State County & Municipal Employees / Afscme,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
54,Eves,"Eves, Mark W",3/26/12,Information Requested,1,Information Requested,,Mainers United For Marriage,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
250,Eves,"Eves, Mark W",9/20/12,Information Requested,1,Information Requested,,Mainers United For Marriage,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
50,Eves,"Eves, Mark W",9/28/12,State Of Maine,1,Legislator,,"Mclean, Andrew",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
250,Eves,"Eves, Mark W",12/31/13,State Of Maine,1,Legislator,* EARMARKED CONTRIBUTION: SEE BELOW,Bellows For Senate,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
250,Eves,"Eves, Mark W",5/14/14,State Of Maine,1,State Representative,,Bellows For Senate,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
250,Eves,"Eves, Mark W",7/10/14,Maine House,1,Government/civil,Monetary (Itemized); Individual,"Castellanos, Monica L",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
250,Eves,"Eves, Mark W",9/16/14,,1,Government/civil,Monetary (Itemized),"Campbell Sr, James J",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
250,Eves,"Eves, Mark W",10/24/14,Woodfords,1,Program Outreach Coordinator,* EARMARKED CONTRIBUTION: SEE BELOW,Emily Ann Cain Campaign Cmte,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
500,Eves,"Eves, Mark W",3/30/16,State Of Maine,1,Maine Speaker Of The House,* Earmarked Contribution: See Below,Pingree For Congress,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
500,Eves,"Eves, Mark W",3/30/16,Woodfords,1,Program Outreach Coordinator,* Earmarked Contribution: See Below,Emily Ann Cain Campaign Cmte,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
